column_name
quantity
shipping_service_1_cost
shipping_service_1_priority
categoryname
shipping_service_2_cost
shipping_service_2_priority
sitestoscrape_id
buy_it_now_price
best_offer_enabled
best_offer_auto_accept_price
minimum_best_offer_price
vat_percent
immediate_pay_required
start_price
id
shipping_service_1_option
shipping_service_2_option
max_dispatch_time
returns_accepted_option
returns_within_option
refund_option
return_shipping_cost_paid_by
shipping_profile_name
return_profile_name
payment_profile_name
productcompliancepolicyid
regional_productcompliancepolicies
economicoperator_companyname
economicoperator_addressline1
economicoperator_addressline2
economicoperator_city
economicoperator_country
economicoperator_postalcode
economicoperator_stateorprovince
economicoperator_phone
economicoperator_email
autor
buchtitel
sprache
thematik
buchreihe
genre
verlag
erscheinungsjahr
cformat
originalsprache
herstellungsland_und_region
produktart
literarische_gattung
zielgruppe
signiert_von
literarische_bewegung
ausgabe
linktobl
action
custom_label_sku
title
relationship
relationshipdetails
isbn
epid
photo
videoid
condition_id
description
format
duration
location
